source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,genesymbol_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,genesymbol_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
P01225,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellCall;CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,4,3,ligand,ligand,,generic,functional,resource_specific,P01225,FSHB,protein,14,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P01286,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01286,GHRH,protein,15,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P09681,P41586,True,False,True,True,False,1,CellTalkDB:32196115,CellCall;CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,4,3,ligand,ligand,,generic,functional,resource_specific,P09681,GIP,protein,16,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P01275,P41586,True,False,True,True,False,1,CellTalkDB:32196115,CellCall;CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,4,3,ligand,ligand,,generic,functional,resource_specific,P01275,GCG,protein,16,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P01229,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01229,LHB,protein,12,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P0C0P6,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P0C0P6,NPS,protein,12,True,False,True,False,False,receptor,receptor,DGIdb;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P01185,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01185,AVP,protein,15,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P18509,P41586,True,False,True,True,False,39,Baccin2019:10100920;Baccin2019:10583729;Baccin2019:11931347;Baccin2019:16930633;Baccin2019:8253796;Baccin2019:8703026;CellChatDB:21350482;CellTalkDB:10100920;Cellinker:10100920;Cellinker:10583729;Cellinker:11931347;Cellinker:12488235;Cellinker:16930633;Cellinker:21350482;Cellinker:8253796;Cellinker:8703026;DIP:17470806;Guide2Pharma:10583729;Guide2Pharma:11931347;Guide2Pharma:16930633;HPMR:10100920;HPRD:10583729;HPRD:8253796;LRdb:10100920;LRdb:10583729;LRdb:11931347;LRdb:16930633;LRdb:8253796;LRdb:8703026;SIGNOR:8703026;connectomeDB2020:10100920;connectomeDB2020:10583729;connectomeDB2020:11931347;connectomeDB2020:16930633;connectomeDB2020:8253796;connectomeDB2020:8703026;scConnect:10583729;scConnect:11931347;scConnect:16930633,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;IMEx_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;SIGNOR;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,10100920;10583729;11931347;12488235;16930633;17470806;21350482;8253796;8703026,9,31,19,ligand,ligand,,generic,functional,resource_specific,P18509,ADCYAP1,protein,15,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P01282,P41586,True,False,True,True,False,20,Baccin2019:10583729;Baccin2019:11931347;Baccin2019:16930633;CellTalkDB:10583729;Cellinker:10583729;Cellinker:11931347;Cellinker:12488235;Cellinker:16930633;Guide2Pharma:10583729;Guide2Pharma:11931347;Guide2Pharma:16930633;LRdb:10583729;LRdb:11931347;LRdb:16930633;connectomeDB2020:10583729;connectomeDB2020:11931347;connectomeDB2020:16930633;scConnect:10583729;scConnect:11931347;scConnect:16930633,Baccin2019;CellCall;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;connectomeDB2020;iTALK;scConnect;talklr,post_translational,10583729;11931347;12488235;16930633,4,18,12,ligand,ligand,,generic,functional,resource_specific,P01282,VIP,protein,16,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P12272,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P12272,PTHLH,protein,16,True,False,True,False,False,receptor,receptor,CellTalkDB;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
Q96A98,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,Q96A98,PTH2,protein,12,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P04090,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P04090,RLN2,protein,12,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
Q8WXF3,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,Q8WXF3,RLN3,protein,15,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P51460,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P51460,INSL3,protein,16,True,False,True,False,False,receptor,receptor,Cellinker;scConnect;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P09683,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P09683,SCT,protein,14,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P01222,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellCall;CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,4,3,ligand,ligand,,generic,functional,resource_specific,P01222,TSHB,protein,15,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P01270,P41586,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01270,PTH,protein,12,True,False,True,False,False,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,P41586,ADCYAP1R1,protein,18,False,True,False,True,False
P02775,P35372,False,True,True,False,True,1,SIGNOR:9686407,SIGNOR,post_translational,9686407,1,1,1,ligand,ligand,,generic,functional,resource_specific,P02775,PPBP,protein,17,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P35372,OPRM1,protein,17,False,True,False,True,False
P01189,P35372,True,False,True,True,False,6,Baccin2019:15464143;CellTalkDB:15464143;Cellinker:15464143;HPMR:15464143;LRdb:15464143;connectomeDB2020:15464143,Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,15464143,1,18,12,ligand,ligand,,generic,functional,resource_specific,P01189,POMC,protein,16,True,False,True,False,False,receptor,receptor,Almen2009;Surfaceome;OmniPath,generic,functional,resource_specific,P35372,OPRM1,protein,17,False,True,False,True,False
P01213,P35372,True,False,True,True,False,7,Baccin2019:9686407;Cellinker:9686407;Guide2Pharma:9686407;LRdb:9686407;SIGNOR:9686407;connectomeDB2020:9686407;scConnect:9686407,Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;connectomeDB2020;iTALK;scConnect;talklr,post_translational,9686407,1,19,13,ligand,ligand,,generic,functional,resource_specific,P01213,PDYN,protein,13,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P35372,OPRM1,protein,17,False,True,False,True,False
P01210,P35372,True,False,True,True,False,7,Baccin2019:9686407;CA1:15082510;Cellinker:9686407;Guide2Pharma:9686407;LRdb:9686407;connectomeDB2020:9686407;scConnect:9686407,Baccin2019;CA1;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,15082510;9686407,2,20,14,ligand,ligand,,generic,functional,resource_specific,P01210,PENK,protein,14,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P35372,OPRM1,protein,17,False,True,False,True,False
P01275,P43220,True,False,True,True,False,26,Baccin2019:11116211;Baccin2019:15528268;Baccin2019:7937318;Baccin2019:8404634;BioGRID:11116211;BioGRID:18248821;CellTalkDB:11116211;Cellinker:11116211;Cellinker:15528268;Cellinker:7937318;Cellinker:8404634;Guide2Pharma:15528268;Guide2Pharma:8404634;HPMR:8404634;HPRD:11116211;LRdb:11116211;LRdb:15528268;LRdb:7937318;LRdb:8404634;SIGNOR:7937318;connectomeDB2020:11116211;connectomeDB2020:15528268;connectomeDB2020:7937318;connectomeDB2020:8404634;scConnect:15528268;scConnect:8404634,Baccin2019;BioGRID;CellCall;CellChatDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,11116211;15528268;18248821;7937318;8404634,5,28,17,ligand,ligand,,generic,functional,resource_specific,P01275,GCG,protein,16,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P43220,GLP1R,protein,17,False,True,False,True,False
P18509,P47872,False,False,False,False,False,5,Baccin2019:1335692;CellTalkDB:1335692;HPRD:1335692;LRdb:1335692;connectomeDB2020:1335692,Baccin2019;CellPhoneDB;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,post_translational,1335692,1,16,10,ligand,ligand,,generic,functional,resource_specific,P18509,ADCYAP1,protein,15,True,False,True,False,False,receptor,receptor,talklr;scConnect;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P47872,SCTR,protein,18,False,True,False,True,False
P01282,P47872,True,False,True,True,False,7,Baccin2019:1646711;CellTalkDB:8390245;Cellinker:1646711;Guide2Pharma:1646711;LRdb:1646711;connectomeDB2020:1646711;scConnect:1646711,Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr,post_translational,1646711;8390245,2,16,11,ligand,ligand,,generic,functional,resource_specific,P01282,VIP,protein,16,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P47872,SCTR,protein,18,False,True,False,True,False
P09683,P47872,True,False,True,True,False,23,Baccin2019:7612008;Baccin2019:7782300;Baccin2019:8579602;Baccin2019:9440501;CellTalkDB:7782300;Cellinker:7612008;Cellinker:7782300;Cellinker:8579602;Cellinker:9440501;Guide2Pharma:7612008;HPMR:7782300;HPRD:7782300;HPRD:8579602;HPRD:9440501;LRdb:7612008;LRdb:7782300;LRdb:8579602;LRdb:9440501;connectomeDB2020:7612008;connectomeDB2020:7782300;connectomeDB2020:8579602;connectomeDB2020:9440501;scConnect:7612008,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,7612008;7782300;8579602;9440501,4,27,15,ligand,ligand,,generic,functional,resource_specific,P09683,SCT,protein,14,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P47872,SCTR,protein,18,False,True,False,True,False
P01275,O95838,True,False,True,True,False,12,CellTalkDB:9990065;Cellinker:11738243;Cellinker:24990862;Cellinker:9990065;Guide2Pharma:11738243;HPMR:9990065;HPRD:11738243;LRdb:117;LRdb:9990065;connectomeDB2020:11738243;connectomeDB2020:9990065;scConnect:11738243,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,117;11738243;24990862;9990065,4,28,16,ligand,ligand,,generic,functional,resource_specific,P01275,GCG,protein,16,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,O95838,GLP2R,protein,18,False,True,False,True,False
P12272,P49190,True,False,True,True,False,7,Baccin2019:8702701;CellTalkDB:8702701;Cellinker:8702701;Guide2Pharma:8702701;LRdb:8702701;connectomeDB2020:8702701;scConnect:8702701,Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;scConnect;talklr,post_translational,8702701,1,19,12,ligand,ligand,,generic,functional,resource_specific,P12272,PTHLH,protein,16,True,False,True,False,False,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P49190,PTH2R,protein,17,False,True,False,True,False
Q96A98,P49190,True,False,True,True,False,17,Baccin2019:10854439;Baccin2019:11602681;Baccin2019:11861531;CellTalkDB:11861531;Cellinker:10854439;Cellinker:11602681;Cellinker:11861531;HPRD:10854439;LRdb:10854439;LRdb:11602681;LRdb:11861531;SIGNOR:11861531;connectomeDB2020:10854439;connectomeDB2020:11602681;connectomeDB2020:11861531;scConnect:10854439;scConnect:11602681,Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;connectomeDB2020;iTALK;scConnect;talklr,post_translational,10854439;11602681;11861531,3,23,13,ligand,ligand,,generic,functional,resource_specific,Q96A98,PTH2,protein,12,True,False,True,False,False,receptor,receptor,Cellinker;Zhong2015;OmniPath,generic,functional,resource_specific,P49190,PTH2R,protein,17,False,True,False,True,False
P01270,P49190,True,False,True,True,False,10,CellTalkDB:7797535;Cellinker:7797535;Cellinker:9482662;HPMR:7797535;HPRD:9482662;LRdb:7797535;LRdb:948;SIGNOR:11861531;connectomeDB2020:7797535;connectomeDB2020:9482662,CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,11861531;7797535;948;9482662,4,22,13,ligand,ligand,,generic,functional,resource_specific,P01270,PTH,protein,12,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P49190,PTH2R,protein,17,False,True,False,True,False
P35318,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P35318,ADM,protein,15,True,False,True,False,False,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
Q7Z4H4,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,Q7Z4H4,ADM2,protein,13,True,False,True,False,False,receptor,receptor,MCAM;Adhesome;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P06881,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P06881,CALCA,protein,13,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01258,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01258,CALCA,protein,15,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P10092,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P10092,CALCB,protein,14,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P10997,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P10997,IAPP,protein,14,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P06850,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P06850,CRH,protein,16,True,False,True,False,False,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01189,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01189,POMC,protein,16,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01215,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01215,CGA,protein,14,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01225,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01225,FSHB,protein,14,True,False,True,False,False,receptor,receptor,Cellinker;Almen2009;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01286,P32241,True,False,True,True,False,9,Baccin2019:8791009;CellChatDB:10655511;CellTalkDB:8791009;Cellinker:10655511;Cellinker:8791009;Guide2Pharma:8791009;LRdb:8791009;connectomeDB2020:8791009;scConnect:8791009,Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;connectomeDB2020;iTALK;scConnect;talklr,post_translational,10655511;8791009,2,20,13,ligand,ligand,,generic,functional,resource_specific,P01286,GHRH,protein,15,True,False,True,False,False,receptor,receptor,Cellinker;Zhong2015;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P09681,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P09681,GIP,protein,16,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01275,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01275,GCG,protein,16,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01229,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01229,LHB,protein,12,True,False,True,False,False,receptor,receptor,scConnect;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P0C0P6,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P0C0P6,NPS,protein,12,True,False,True,False,False,receptor,receptor,Cellinker;CellChatDB;Baccin2019;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P01185,P32241,False,False,False,False,False,1,CellTalkDB:32196115,CellTalkDB;LRdb;Reactome_LRdb,post_translational,32196115,1,3,2,ligand,ligand,,generic,functional,resource_specific,P01185,AVP,protein,15,True,False,True,False,False,receptor,receptor,OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
P18509,P32241,True,False,True,True,False,36,Baccin2019:11897681;Baccin2019:11931347;Baccin2019:12429744;Baccin2019:16930633;Baccin2019:8791009;Baccin2019:9928018;CellTalkDB:11897681;Cellinker:11897681;Cellinker:11931347;Cellinker:12429744;Cellinker:12488235;Cellinker:16930633;Cellinker:8791009;Cellinker:9928018;Guide2Pharma:11931347;Guide2Pharma:16930633;Guide2Pharma:8791009;Guide2Pharma:9928018;HPRD:12429744;LRdb:11897681;LRdb:11931347;LRdb:12429744;LRdb:16930633;LRdb:8791009;LRdb:9928018;SIGNOR:11897681;connectomeDB2020:11897681;connectomeDB2020:11931347;connectomeDB2020:12429744;connectomeDB2020:16930633;connectomeDB2020:8791009;connectomeDB2020:9928018;scConnect:11931347;scConnect:16930633;scConnect:8791009;scConnect:9928018,Baccin2019;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;SIGNOR;Wang;connectomeDB2020;iTALK;scConnect;talklr,post_translational,11897681;11931347;12429744;12488235;16930633;8791009;9928018,7,27,15,ligand,ligand,,generic,functional,resource_specific,P18509,ADCYAP1,protein,15,True,False,True,False,False,receptor,receptor,Cellinker;OmniPath,generic,functional,resource_specific,P32241,VIPR1,protein,17,False,True,False,True,False
